Episode,Train Rewards,Test Rewards
0,-10.9,-10.7
1,-11.1,-10.7
2,19.3,-10.7
3,-10.9,-10.7
4,-10.7,-10.7
5,-11.4,-10.7
6,-11.1,-10.7
7,-10.9,-10.7
8,-11.1,-10.7
9,-10.5,-10.7
10,-11.0,-10.7
11,-10.9,-10.7
12,-10.6,-10.7
13,-11.2,-10.7
14,-10.9,-10.7
15,-11.1,-10.7
16,-10.9,-10.7
17,-10.9,-10.7
18,-11.2,-10.7
19,-10.8,-10.7
20,-11.5,-10.7
21,-11.0,-10.7
22,-11.1,-10.7
23,-10.9,-10.7
24,-11.6,-10.7
25,-11.8,-10.7
26,-11.0,-10.7
27,-10.9,-10.7
28,-11.3,-10.7
29,-11.2,-10.7
30,-10.6,-10.7
31,-10.9,-10.7
32,-11.2,-10.7
33,18.7,-10.7
34,-11.8,-10.7
35,-10.9,-10.7
36,-10.9,-10.7
37,-10.6,-10.7
38,18.6,-10.7
39,-10.6,-10.7
40,-11.1,-10.7
41,-11.0,-10.7
42,-11.8,-10.7
43,-10.7,-10.7
44,-10.7,-10.7
45,-10.6,-10.7
46,-10.6,-10.7
47,-11.4,-10.7
48,-1.7,-10.7
49,-11.2,-10.7
50,-10.7,-10.7
51,-10.8,-10.7
52,-21.0,-10.7
53,-11.1,-10.7
54,-10.9,-10.7
55,-11.2,-10.7
56,-10.7,-10.7
57,-10.9,-10.7
58,-11.1,-10.7
59,-11.2,-10.7
60,-11.5,-10.7
61,-10.8,-10.7
62,18.7,-10.7
63,-10.7,-10.7
64,-10.7,-10.7
65,-10.9,-10.7
66,-1.1,-10.7
67,-1.0,-10.7
68,-11.5,-10.7
69,-11.3,-10.7
70,-10.7,-10.7
71,-10.9,-10.7
72,-10.6,-10.7
73,18.7,-10.7
74,-11.6,-10.7
75,-10.7,-10.7
76,-10.9,-10.7
77,-11.0,-10.7
78,-11.0,-10.7
79,-1.0,-10.7
80,-11.0,-10.7
81,-11.4,-10.7
82,-1.0,-10.7
83,-10.7,-10.7
84,-10.8,-10.7
85,-10.7,-10.7
86,-10.6,-10.7
87,-10.7,-10.7
